NewsTitle,story
Why Rich Investors Are Bracing for a Steep Sell-Off as Turmoil Looms,"Bullish buyers have sent the S&P 500 Index soaring to a series of record highs this month, but wealthy investors are bracing for a significant market decline by the end of 2020, and now hold, on average, 25% of their assets in cash, according to a worldwide survey by UBS Global Wealth Management that drew more than 3,400 responses. Moreover, 60% of respondents plan to increase their cash allocations yet more, according to a detailed report in Bloomberg summarized below. “The rapidly changing geopolitical environment is the biggest concern for investors around the world,” as Paula Polito, client strategy officer at UBS GWM, observed in a statement. “They see global interconnectivity and reverberations of change impacting their portfolios more than traditional business fundamentals, a marked change from the past."" Key Takeaways Wealthy clients surveyed by UBS expect a big stock market selloff. They are building high cash balances as a defensive measure. They also seek more diversification and higher-quality stocks. However, they are optimistic about future investment returns. Significance for Investors UBS polled investors with $1 million or more in investable assets, which include cash and marketable securities, but exclude residences and personal property. The survey was conducted between August and October 2019. Other key findings of the survey were: nearly 80% expect volatility to increase, 55% anticipate a significant stock market selloff before the end of 2020, and 62% look to increase their diversification across asset classes. While the average allocation to cash among respondents was 25%, this was down from 32% in an earlier iteration of the survey in May. Also, per a report in Barron's about the survey, 52% are uncertain whether it is a good time to invest now, but 64% are thinking about increasing their holdings of high quality stocks. Another interesting point is that the bearish sentiment among these wealthy investors relates only to the short term, since 70% are optimistic about investment returns across the next 10 years. This stands in sharp contrast to the long term pessimism of various market pundits, who have been predicting dismal investment returns across the next decade, or even longer, per previous reports . These investors are responding to short term uncertainty “by really shortening their time horizons and shifting to assets like cash that are safe,” observes Michael Crook, a managing director with the UBS investment strategy team. Meanwhile, Tim Courtney, chief investment officer (CIO) of Exencial Wealth Advisors, indicates that some ultra-cautious wealthy clients have put up to half their portfolios in cash, per another Barron's report. Looking Ahead Money fund balances have surpassed $3.4 trillion, a 10-year high, and are still rising. While many observers take this as a bearish sign, strategists at Bank of America Merrill Lynch and UBS, including Paula Polito, have a bullish interpretation. For example, BofAML's proprietary Cash Rule Indicator gives a contrarian buy signal for stocks when cash balances are above their long term averages, as they have been for nearly two years, per The Wall Street Journal ."
Big Buying in Software and Biotech Stocks Is Bullish,"It's not fair. Reality is not perception, but perception is reality. Suppose I said that cows are 20 times more deadly than sharks. You'd spit out your burger laughing at me. But it's true; those docile cows kill more Americans each year than sharks, bears, alligators, snakes, and spiders – combined! Humans, though, are the biggest killers on earth. But we live thinking sharks are all Jaws, and poisonous spiders and snakes are out to get us. Bears lurk in the shed when we take out the trash, ready to maul us. Truth is, they're all doing their thing, and so are we. Usually, nothing happens. But fear rules because it sells. A friendly shark movie wouldn't make it past studio execs. They know the ""Jaws"" franchise did the equivalent of $2 billion in today's dollars globally. Similarly, the market might conjure images of big bad bear claws more than charging bull horns. But reality says that bulls are large and in charge. The Mapsignals Big Money Index measures unusual buying against selling. It surged to 71.2%. A month ago, it was 51.9%. Buying like that coming from nowhere can be spooky. When professional money managers suddenly all go hard into stocks, it creates FOMO. But how long can buying like that last? We're not likely getting overbought this week (80%-plus is overbought). We could stay this way for a while. We'd need several huge-buying days in a row to get overbought. A few more days like Friday, a 92% buying day. Eventually, the market will need to vent and pull back. But today, buyers are in control. Let's focus on what they’re buying. Friday gave us a good idea. It was the biggest day of health care buying since June 15, 2018. Nearly 20% of the universe logged a buy – in one day! www.mapsignals.com The next set of charts shows a little context for the type of buying we are seeing in health care. The first chart shows net buys/sells for the health care sector. When there's more buying than selling, there's a green bar. More selling means a red bar. The second chart shows a stretch of huge buying in the biotech industry (most of last week's buying was in biotech). The green sticks appear when there is more than 150% buying on a 30-day moving average. How do we use these charts to help us decide when to get in? Health care www.mapsignals.com Biotech www.mapsignals.com On the chart of the Health Care Select Sector SPDR Fund ( XLV ), those looking for a safer trend development will notice that, when there's big buying (ramping green spikes), the longer term shows appreciation. Those looking for bargains will notice that, when there's a sea of red, it's a good time to grab a deal – but scarier. Those looking for optimal timing and safety will notice that the best time to pay attention is when we get green buying right after heavy selling. This is the setup in the past week or so, with good-sized selling followed by a rush in, like air rushing into a vacuum. As I said above, the buying in health care was heavily tilted toward biotech. Of the 82 buy signals last week, 50 were biotech. Looking at the chart of the SPDR S&P Biotech ETF ( XBI ), just isolating biotech, you'll notice that patches of heavy buying are often followed by higher prices. In fact, when buying ramped up in early 2017, it preceded a six-month 60% rally in XBI. Another place to pay attention is tech. We see the same type of charts below. Net buying (green) has picked up in tech after a nasty patch of selling. This bodes well for future prices in the info tech sector. Here we use the Technology Select Sector SPDR Fund ( XLK ) as a gauge. Again: what exactly is getting bought in tech? Tech showed 68 buys for the week, and 21 of those were semiconductors. That's not surprising, as we have been harping on it for a while. What is a surprise is that software showed 36 of those 68 buys. This is the industry that got torched late September into October. It was toxic, but again, not because the sector was fundamentally weak. We believe portfolio managers got the tap on the shoulder to sell winners to pay for losers after a rough summer. Software was the biggest winner for a while. You can see this clearly in the chart of the iShares Expanded Tech-Software Sector ETF ( IGV ) on the right. It basically serves as an index to track the software industry stocks. What's interesting is when we see that big buying. Those green bars are 150% the 30-day moving average of software buying. When it perks up, it means big gains. If you look closely at the bottom right of the chart, you'll see that it just started again. After nasty selling last month, the buyers are stepping back in. Gun to my head: software stocks are in for a rise. www.mapsignals.com Bulls and bears can duke it out on CNBC. What really matters is the data: what’s actually happening? The same goes for human-killers. Jaws gets the bad rap, but statistically, it's those evil cows you gotta watch out for. Ultimately, it's you who must trust where your information comes from. Most of the time, those who feed it to you want you to perceive things the way they sell them: so you buy what they sell. Arm yourself with data. Stephen King said it sweetly: ""The trust of the innocent is the liar's most useful tool."" The Bottom Line We (Mapsignals) continue to be bullish on U.S. equities in the long term, and we see any pullback as a buying opportunity. Weak markets can offer sales on stocks if an investor is patient. Disclosure: The author holds no positions in any stocks mentioned at the time of publication. Investment Research Disclaimer"
Heavy Hitters Drive Nasdaq 100 Performance,"Market Moves The Nasdaq 100 index ( NDX ) closed slightly higher and traded within a tighter-than-average trading range . This price action has been repeated many days in the past several weeks, so much so that investors may be tempted to think that stocks will keep going higher like this for a long time to come. The reality is that this outcome is highly unlikely if for no other reason than that stocks have not behaved that way in the past. The chart below shows that the Nasdaq 100, as tracked by Invesco's index-tracking ETF ( QQQ ), has traded with a smaller-than-average trading range for 27 consecutive days now. With the exception of the extreme run-up at the beginning of 2019, a string of days that have traded with decreasing volatility for 32 consecutive trading sessions has not happened in over a decade. The current action is only five sessions away from that. This level of low volatility is so unusual that it may create a sharp pullback as investors inadvertently decide to take profits on the same day at some point in the future. The Nasdaq 100 Is Driven by Five Companies The Nasdaq 100 Index is calculated by a modified capitalization methodology that includes the top 100 stocks on the Nasdaq exchange. You might be tempted to think that this index is made up of an equal influence of 100 different companies, but that would be incorrect. The weightings differ based on price of the stock and the number of outstanding shares – in short the market capitalization . This becomes especially true as index components begin to shift upward in price relative to their peers. Under such circumstances, the influence on the index by a single stock tends to outpace its peers, sometimes in dramatic ways. Consider the pie chart below, which details the weightings of the five largest stocks in the Nasdaq 100 index: Apple Inc. ( AAPL ), Microsoft Corporation ( MSFT ), Amazon.com, Inc. ( AMZN ), Alphabet Inc. Class C ( GOOG ) and Alphabet Inc. Class A ( GOOGL ), and Facebook, Inc. ( FB ). (Note that GOOG and GOOGL are actually the same company.) The combined weighting of these five companies is 46% of the calculation that goes into determining the price of the Nasdaq 100 Index – almost as much as the remaining 95 companies combined. Read more: How Stocks Defying Bulls Could Plunge Into a Bear Market Territory Qualcomm Stock Sets Multi-Year High on Earnings Why Rich Investors Are Bracing for a Steep Sell-Off as Turmoil Looms Can the Nasdaq 100 Move Higher Without Those Five? If you consider the heavy tilt of the Nasdaq 100 index toward its five most influential companies, then an interesting question comes into focus. Investors might want to know where those five companies are headed relative to the index itself. The chart below provides a quick view. This chart compares the Nasdaq 100 (green line) with an equal-weighted portfolio of those top five companies (blue line). The portfolio of these companies seems to be noticeably diverging away from the index itself. This divergence would be even more dramatic if the influence of the top stocks were taken out (for this illustration they are not). It begs the question: can the index keep going up if its heavyweights are not doing so? The Bottom Line Despite closing lower than its open, the Nasdaq 100 closed higher on low-range trading. This marks the 27th consecutive session in which it has done so. A pullback might come soon because this length of a streak is rare. In fact, a quick comparison view of the Nasdaq 100 index and its top components shows that those components are diverging significantly and may drag the index lower if that is the direction they end up moving. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
At Your Discretion,"Market Moves The S&P 500 index ( SPX ) continued its plodding, deliberate move higher, closing a scant 0.05% above unchanged. The Nasdaq 100 ( NDX ) and the Dow Jones Industrial Average ( DJX ) did slightly better. Traders and investors looking for quick gains are having difficulty knowing where to look. Under such circumstances, a quick look at the market sector can prove instructive, since investors are likely turning toward sector-rotation strategies when the market starts to move more slowly. The chart below shows the lead amassed by the technology sector, as tracked by iShares' sector-tracking SPDR ETFs for basic materials ( XLB ), energy ( XLE ), financials ( XLF ), industrials ( XLI ), technology ( XLK ), consumer staples ( XLP ), utilities ( XLU ), health care ( XLV ), and consumer discretionary ( XLY ). Some studies suggest that the best gains are to be had in the second place and second-to-last place sectors. The studies suggest that stocks in these sectors are more likely than others to be in a fast-growing sector 90-days from now. With this in mind, taking a closer look at the financial sector and the consumer discretionary sector might be worthwhile. The Discretionary Sector Could Break Out When a particular sector is relatively undervalued compared to its peers, it is also interesting to find a particular price pattern apparent on its chart. Price patterns may not have much in the way of predictive value, but they do indicate a price dynamic that can become a contributing factor should institutional investors take action on the sector. The chart below shows a pennant pattern that has formed on XLY. This pattern sets up the possibility that a small change in price (higher) will grab attention from technical traders and institutional investors alike. This added attention could contribute to an unusual pace of appreciation should the market continue higher. Read more: 8 Blue Chips Crushing S&P 500 as Global Profits Surge 10 Bargain Cyclical Stocks That Will Lead as Economy Rebounds Strong Holiday Sales Could Underpin Major Retailers A Change in the Stream The battle for dominance in streaming entertainment may take an interesting turn. The Walt Disney Company's ( DIS ) new Disney Plus service was apparently underwhelming to many early adopters, but this only served to generate headlines to many who were unaware that it had launched (or that it existed). Meanwhile, the added attention has led some analysts to increase their estimates for Disney, and by extension, Netflix, Inc. ( NFLX ) as well. An interesting comparison shapes up if you overlay a chart of one portfolio composed of half Amazon.com, Inc. ( AMZN ) and half Comcast Corporation ( CMCSA ) with another portfolio of 50% Disney and 50% Netflix. Just this past week, the Disney-Netflix duo has overtaken the other portfolio for the year's performance. A continued rise by these stocks would go a long way to accelerate the discretionary sector. The Bottom Line While major market indexes traded to another record-high close, they did so very quietly. Under such circumstances, it isn't surprising to find opportunities in a sector comparison chart. As it happens, the consumer discretionary sector may be setting up to break out of its consolidating price pattern and make a significant acceleration. Disney and Netflix may contribute to such a move, as both have risen rapidly in the past week. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
Tech Stocks Racing Toward Best Gains in Decade Despite Red Flags,"Information technology stocks were widely seen as dangerously overvalued a year ago, yet they are having their best year since 2009, rising 40% year-to-date as of the close on Nov. 20, 2019, versus 24% for the S&P 500. “This is where the growth is over the long term, so you’re always going to get a pretty good bid” for tech stocks, as Katie Nixon, chief investment officer (CIO) for Northern Trust Wealth Management, told The Wall Street Journal in a detailed report summarized below. Tech stocks have outperformed recently even as value stocks have started to rebound. Moreover, the tech stocks that have posted especially big gains are a diverse group. Some examples, with their YTD gains are: FAAMG members Apple Inc. ( AAPL ), +67%, and Microsoft Corp. ( MSFT ), +47%, credit card giants Visa Inc. ( V ), +38%, and Mastercard Inc. ( MA ), +51%, as well as Applied Materials Inc. ( AMAT ), +82%, ASML Holding NV ( ASML ), +73%, and Lam Research Corp. ( LRCX ), +101%, all three of which manufacture the capital equipment used by semiconductor manufacturers. Key Takeaways Tech stocks are leading the market by a wide margin in 2019. However, tech is among the worst sectors for Q3 2019 earnings. Valuations remain high, adding to the risks. Significance for Investors ""This is an environment where we’re finding opportunities,” says Eric Wiegand, a portfolio manager in the private wealth division of U.S. Bank. His firm has focused on software and service companies among its tech holdings. Among the FAANG stocks, note that Facebook Inc. ( FB ), Netflix Inc. ( NFLX ), and Google parent Alphabet Inc. ( GOOGL ) were shifted in 2018 from the information technology sector to the new communication services sector, which is up 27% YTD. Amazon.com Inc. ( AMZN ) is in the consumer discretionary sector, given that retailing is its core business. Tech stocks are soaring despite major warning signs. Of the 11 sectors in the S&P 500, information technology had weaker Q3 2019 year-over-year (YOY) earnings growth than 8 other sectors, with a 5.4% decline per FactSet Research Systems. However, this represented an improvement from the even lower expectations voiced by analysts as of June 30, when the consensus called for a 9.4% drop. Communication services is on track to report Q3 earnings that are roughly flat YOY, while earnings for consumer discretionary are down by about 2%. For the S&P 500 as a whole, the Q3 earnings decline is trending towards 2.3%. Another problem is that some of the biggest names in technology, broadly defined, are showing reduced momentum. Amazon.com announced its first quarterly earnings decline in more than two years, while Netflix failed for a second straight quarter to meet its goals for subscriber growth. Among the FAANG stocks, only Apple and Alphabet, +25% YTD, have hit new highs in recent months. Amazon is a market laggard, with a 14% YTD gain, as is Netflix, +13%. Facebook, meanwhile, is up 51% despite being the focus of intense scrutiny in Washington. Looking Ahead Tech stocks remain pricey. The forward P/E ratio for the information technology sector is about 21 times projected earnings over the 12 months, versus a ratio of 18 times for the S&P 500 as a whole, per FactSet. Communication services is also valued at roughly at 18 times projected next 12 month earnings. Such a valuation premium for information technology implies expectations that profit growth will resume. If that does not happen in the near future, the sector may be riding for a fall."
Why Contrarian Goldman Sees an Economic Rebound,"Despite widespread worries that the U.S. will experience declining economic growth in 2020, and perhaps slip into a recession , Goldman Sachs predicts a rebound. ""Our economists forecast U.S. real GDP growth will accelerate beyond 2%, reaching a pace of 2.3% in early 2020. Their estimate for full-year average annual GDP growth is 2.1%, above the consensus growth rate of 1.8%,"" according to Goldman's current U.S. Weekly Kickstart report. Other informed observers offer a contrasting view. For example, U.S. corporate CEOs are less confident than at any prior time since the global financial crisis of 2008, while 67% of CFOs at large U.S. companies expect a recession by the end of 2020, per previous reports . Key Takeaways Goldman Sachs expects U.S. economic growth to rebound in 2020. Their forecast is more optimistic than the consensus. Morgan Stanley sees a global rebound in 2020, but an uneven one. They find stock valuations to be high versus economic fundamentals. Significance for Investors Among the components of GDP, Goldman forecasts that residential and business fixed Investment will see the biggest growth. Additionally, they predict that 4 key forces will drive an uptick in U.S. economic growth: (1) The stimulative impact of interest rate cuts by the Federal Reserve will continue to flow through the economy in the next few quarters. In particular, their economists find that easing financial conditions historically take about 3 full quarters to reach their peak effect on GDP. (2) Tariffs, and their negative economic impacts, appear to have peaked. Their base case is that U.S. tariffs on imports from China will be unchanged in 2020. (3) Inventory-to-sales ratios have been declining, suggesting a manufacturing rebound ahead, as companies increase production to meet demand and rebuild inventories. In particular, the proportion of small businesses planning to increase inventories reached its highest level of the year in October. (4) Negative impacts of ""Idiosyncratic events"" such as the General Motors strike and falling oil prices should subside in 2020. Goldman expects that resolution of the strike will spark a rebound in automobile production, and in payroll growth. Meanwhile, the negative impact of lower oil prices on the energy industry should be more than offset by the positive impact of lower costs on other industries and consumers, especially as prices stabilize. Right now, Goldman cites several positive indicators for the U.S. economy. Non-farm payrolls increased by 128,000 in October, sending the recent trend up to 175,000. Home sales were up by 5% year-over-year in September and October. After dropping for 6 straight months, the ISM Manufacturing Index rose moderately in October, while the ISM Non-Manufacturing index also increased. On Friday, the core retail sales also showed an increase. Looking Ahead Morgan Stanley is a leading Wall Street firm with a more pessimistic view. They expect earnings estimates for the S&P 500 during the next 12 months to be revised downward, per a recent issue of the Weekly Warm-Up report from their U.S. equity strategy team headed by Mike Wilson. ""We expect to see weak [economic] growth in 2020,"" they write. In another report, the 2020 Global Strategy Outlook, Morgan Stanley's economists expect global economic growth to improve starting in Q1 2020, but that it will be ""uneven."" Moreover, they find that stock market valuations are still high versus previous points in history when the Purchasing Managers' Index (PMI) began to emerge from a trough. They also write that ""US risk assets are too expensive for the modest [economic] pick-up we forecast."""
Markets See First Significant Selling in Over a Month,"Market Moves The S&P 500 ( SPX ) and the Nasdaq 100 index ( NDX ) fell today during the most significant degree of selling activity in over a month. Despite these moves, the indexes showed enough buying to bring their close into the upper half of today's trading range . This is more likely to be a bullish signal, as it shows investors are willing to step in and buy up any kind of dip right now. However, a subtle undercurrent of concern is building in the options markets , where the CBOE Volatility Index ( VIX ) has begun to show a break in its normal pattern of inverse correlation. The chart below shows that the VIX usually maintains a strict inverse correlation with the SPX, but on rare occasions when the correlation seems to diminish or completely reverse, the event becomes a significant marker in time, from which the market may reverse its course over the short term. The current reading of this correlation is actually much higher than normal. (Click on the chart to see an enlarged version of the graphic.) This could portend an extended sell off in the not-too-distant future. Bond Markets Not Worried About Stock Market Instability If the market were to have an extended period where prices fell and investors did more selling than buying, it would be useful to have some indication of whether it could turn into a full-blown bear market or not. The 20% decline that the major indexes showed at the end of last year could just have easily led to a major market decline – instead, it produced one of the best buying opportunities of the decade. While no indicator calls every market turn perfectly, professional analysts agree that intermarket indications tend to precede such turns more often than not. Under such circumstances as we observe in the stock market, it becomes useful to review what alternatives investors have and where they might take their money if stocks became a disappointment. This includes bond markets and precious metals. An interesting analysis of the bond markets can be found by observing the degree of correlation between bond prices as tracked by iShares' 20+ Year Treasury Bond ETF ( TLT ) and interest rates as tracked by CBOE's 10 Year Treasury Note Yield Index ( TNX ). These two instruments are expected to be inversely correlated. When they diverge from that inverse correlation, it becomes a potential indicator of change (see the areas marked on the chart). The current level represents an extremely tight inverse correlation, so the bond markets are not poised to change from a downward trend to an upward trend any time soon. Read more: Why Investors Should Brace for a 50% Volatility Spike and Steep Losses Why Contrarian Goldman Sees an Economic Rebound Caterpillar Stock Could Offer Low-Risk Buying Opportunity Gold and Silver Markets Remain Steady If investors didn't want to buy bonds or simply move their money to cash, they might consider buying precious metals. If so, we would expect to see a jump in demand for gold or silver during a period of time when stock prices were falling. During such conditions, the price of gold and silver may not rise in carefully coordinated ways. Therefore, observing the correlation between gold and silver prices can be useful in determining major market turning points. The chart below compares the price of gold as tracked by State Street's gold-tracking ETF ( GLD ) with the price of silver as tracked by iShares' silver-tracking ETF ( SLV ). You can see that these price patterns do exhibit important disruption at major turning points, just as they did last year (see marking on chart). But these two instruments do not show any degree of similar indication right now. The conclusion would be that investors are not showing any increase of interest in alternatives to stocks, and for the moment, they stand ready to buy the dips in any upward trend. The Bottom Line Despite closing lower today, the Nasdaq 100 and the S&P 500 closed in the upper half of their trading ranges, signifying that some investors still want to be buyers. Neither bond price action nor the prices of precious metals show any indication that investors are ready to move money away from stocks and into these markets. This implies that a bear market is unlikely to begin right now. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
Investors Show No Panic During Second Day of Selling,"Market Moves The major stock market indexes fell only slightly as investors continued their second day of significant selling. The tepid attempt at profit taking may imply that investors will soon be eager to resume their bullish strategies. For further evidence of this, we need only compare a collection of stock index ETFs with bond index ETFs. The chart below shows a stock portfolio made up of equal parts from each of the three large-cap indexes: S&P 500 ( SPX ), Nasdaq 100 ( NDX ), and Dow Jones Industrial Average ( DJX ); compared with a portfolio of four popular bond ETFs from iShares, including the 20-year Bond fund ( TLT ), the 7-10 year Treasury Bond fund ( IEF ), the High Yield Corporate Bond fund ( HYG ), and the Municipal Bond fund ( MUB ). This important comparison shows a deep undercurrent in this simple price movement. The price change implies that billions of dollars have moved from bonds to stocks in just the past two months and more will continue to do so. This is good news for stock investors, because bond market investors are usually oriented around longer investing time frames. This movement from one asset class to another suggests that the many investors making this move right now are interested in a long-term investing time frame. Consequently, it portends a bullish forecast for stocks in the next several months. Consumers Balancing Needs and Wants With Black Friday approaching, analysts are turning an eye to the retail sector to try to gauge where opportunity may best be found ahead of the holiday shopping season. The effort necessary to determine where such investing opportunity can be uncovered may be as simple as comparing the two major segments of the retail market: those that cater to consumers needs versus their wants. Something that any shrewd chart watcher can do is to compare these two segments in a unique way by looking at just six stocks: Amazon.com, Inc. ( AMZN ) and The Home Depot Company ( HD ) for the wants, and The Coca-Cola Company ( KO ), PepsiCo, Inc. ( PEP ), Walmart Inc. ( WMT ), and Procter & Gamble ( PG ) for the needs. These six stocks represent the most heavily held components in the sector ETFs that track consumer discretionary and consumer staples sectors respectively. The chart below demonstrates this comparison for 2019. Amazon and Home Depot have pulled back, and all six stocks have flattened their trend. Unless this is the beginning of a longer-term bearish sentiment in the market, then a pattern like this is usually a good indication that the discretionary stocks, the wants, are becoming undervalued and may soon rise higher as better news unfolds. Historically, the wants tend to lead the needs, but since the markets are rather complacent right now, a bearish break lower is unlikely. Read more: Who Is Winning the First Round of Commission-Free Trading? Bullish Traders Are Shifting Their Focus to Retail Schwab Rumored to Buy Rival TDA in $26 Billion Deal Broker Merger Might be Good for Consumers If retail trading customers might like the idea of two popular brokerages merging platforms and services, investors appear to be in love with the idea. The chart below provides the proof. As news broke that The Charles Schwab Corporation ( SCHW ) was rumored to have made a bid to buy TD Ameritrade Holding Corporation ( AMTD ), shares of the former closed over 7% higher, while shares of the latter closed nearly 17% percent higher. Investors and analysts alike might be tempted to dismiss this outcome as the result of merely plugging the buyout bid into a valuation model for the two companies, but there is likely more to it than that. Consider the hurdles for Schwab, such as the overall cost of the transaction and the challenges to merge the companies without reducing the value of customers' experiences. Furthermore, the company would need to do this in an environment without the revenue from trading commissions (a $100 million dollar annual loss just for Schwab by its own admission). The fact that the price of Schwab shares did not trade lower at the open is a big vote of confidence from investors. More importantly, this price action implies that analysts and investors alike consider a positive outcome for the endeavor to be more likely than otherwise. If you think about this response in that light, then by itself, the price jump is a bullish forecast of the stock market and the overall U.S. economy. The Bottom Line Despite closing lower yesterday, the Nasdaq 100 and the S&P 500 maintained tight trading ranges, indicating that sellers are not feeling a sense of panic. Retail consumers may soon drive sales revenues higher, potentially benefiting investors in discretionary stocks more than those holding consumer staples stocks. The market's reaction to the rumored merger between Charles Schwab and TD Ameritrade may actually imply a bullish expectation for the stock market. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
Big Cap Stock Pickers Lose Big Amid $250 Billion in Outflows,"Amid the raging bull market, a big source of disappointment for investors has been persistent underperformance by actively-managed large cap equity mutual funds. Despite a modest rebound from their 2019 low point in terms of performance versus benchmarks, only 28% of these funds are beating their benchmarks this year, down from an average of 34% since 2009, Goldman Sachs reports. As a result, actively-managed large cap mutual funds are beset by large net withdrawals of funds by investors. The aggregate year-to-date outflow through Oct. 31, 2019 was $229 billion, roughly in line with the average of $234 billion during the same period in the past four years, per Goldman's Mutual Fundamentals report released on Nov. 20. At the pace recorded through October, full year 2019 is on track to see net withdrawals of $275 billion, which would be the largest annual figure since 2016. Key Takeaways Large cap actively-managed mutual funds are seeing large withdrawals. Most of these funds are lagging the market, more than in recent years. On average, they have been underweight in the best performing stocks. Lower outflows are likely in 2020, as policy uncertainty rises. Significance for Investors Goldman studied the portfolios of 617 funds with an aggregate $2.6 trillion in assets under management (AUM) . Part of the performance problem is that the most overweight fund positions have lagged the most underweight positions by 125 basis points (bp) , and the full S&P 500 Index by 150 bp, through October. Among the top 10 overweights are Google parent Alphabet Inc. ( GOOGL ), Visa Inc. ( V ), Adobe Inc. ( ADBE ), and MasterCard Inc. ( MA ). The 10 most underweight stocks include Apple Inc. ( AAPL ), Microsoft Corp. ( MSFT ), Amazon.com Inc. ( AMZN ), and Berkshire Hathaway Inc. Class B ( BRK.B ). Looking at sectors rather than stocks, the average large cap mutual fund is underweight in information technology, the best performing sector in 2019 . However, these funds also are overweight in the laggards, including health care and consumer discretionary . ""Funds raised their overweight exposure to cyclicals to the highest level since 2Q 2017,"" Goldman writes. They add: ""Funds increased their relative allocation to Industrials (primarily Capital Goods) and Semiconductors. However, the current overweight to cyclicals still remains below [their 7-year] average."" Nonetheless, ""the cyclical bias of mutual fund sector exposures has supported fund outperformance in recent weeks."" Goldman also found that the funds most likely outperform were those with the most concentrated portfolios and the largest exposures to non-U.S. stocks. Regarding concentration, the report finds that funds holding fewer than 100 stocks are performing significantly better than those with more than 100. On international exposure, 33% of funds with at least 5% of their portfolios in non-U.S. stocks are beating the market in 2019, while only 28% of those with no overseas equities are doing so. Meanwhile, although the percentage of large cap actively-managed mutual funds that are beating their benchmarks has slipped to 28% in 2019 from a 10-year average of 34%, absolute returns are up sharply compared to the last 5 years. Through October, the median fund in this universe produced a YTD return of 25%, versus an average of only 7% from 2014 through 2018. Looking Ahead ""We expect lower outflows from active funds next year than each of the past four years because trade tensions and the 2020 US Presidential election will likely keep uncertainty elevated. History suggests that investor outflows from mutual funds are smallest following periods of high policy uncertainty,"" Goldman indicates."
Quiet Markets See Agricultural Commodities on the Rise,"Market Moves The markets for stocks, bonds, and currencies have been remarkably less volatile than usual. Even commodities have had mixed results, with gold and silver reducing volatility while oil has increased slightly. One of the markets easily overlooked is that of agricultural commodities. Although this segment of the market has not performed well in 2019, in recent months, prices have, for the most part, been on the rise. The chart below shows a comparison of Invesco's Deutche Bank-Index-based agriculture fund ( DBA ) with other exchange-traded funds (ETFs) that track agricultural commodities including cocoa ( NIB ), coffee ( JO ), wheat ( WEAT ), soybeans ( SOYB ), sugar ( SGG ), and corn ( CORN ). Since the end of summer, and likely in anticipation of a favorable harvest season and new crop year, these commodities have been on the rise. The one exception among these is CORN, which may be more sensitive to the rising value of the U.S. dollar and the U.S.-China trade negotiations. The most notable increase in these commodity prices has come in cocoa and coffee. The importance of looking through such charts is that it can help a trader or investor recognize where new opportunities might appear next. Stocks that might benefit from these trends might now be positioned to return well from current levels. Farm Equipment Manufacturers Remain in Uptrend Investopedia contributor Tim Smith wrote a worthwhile piece detailing the current positions of three farming stocks. Considering the current environment, this topic is rather timely. The chart below is a quick snapshot of these stocks and demonstrates how these have been trending higher through the summer. That their current status shows them slightly pulled back from their highs is consistent with the market at large. However, the important point is that all three stocks, Deere & Company ( DE ), Lindsay Corporation ( LNN ), and CNH Industrial N.V. ( CNHI ), have maintained the appearance of their upward trend despite the pullback. Read more: Big Cap Stock Pickers Lose Big Amid $250 Billion in Outflows Tech Stocks Racing Toward Best Gains in Decade Despite Red Flags Pullback in Farming Equipment Stocks Offers Trading Opportunity Chocolate Maker on Sale? If the commodity rising fastest is cocoa, it might make sense to go looking for which company might have its share prices influenced by an increased demand for cocoa. The biggest player in the industry is undoubtedly The Hershey Company ( HSY ). The chart below shows that the company had performed very well through the first half of the year but has had a significant pullback from its highs since then. Perhaps it is not surprising that the fall in Hershey share prices coincides with a rise in cocoa prices, but what is surprising is what an excellent trading setup this appears to be. While Hershey shares may drift lower in the near future, the breakout of this channel might portend a resumption of the trend higher. Shrewd chart watchers will want to keep an eye on the price of cocoa to see if its price corresponds with a change in Hershey share prices. Such a coordinated move could reveal a superb trading or investing opportunity before the end of the year. The Bottom Line Quiet trading in most markets today left the major indexes little changed from yesterday's close. Agricultural commodities appear to be on the rise, and farm equipment manufacturers appear to be rising coincidentally. Cocoa prices are moving up strongly, and this may have an effect on Hershey's shares. Despite this, the stock looks like it has an opportunistic setup. Enjoy this article? Get more by signing up for the Chart Advisor newsletter."
